title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
apartment for sale at Il Bosco attractive price,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",192,4,4,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",6500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7579812.html
Twin House at Il Bosco New Capital delivered,Twin House,"IL Bosco, New Capital Compounds, New Capital City, Cairo",247,4,5,"['Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",14000000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7579738.html
Apartment in a prime location in R7,Apartment,"The City, New Capital Compounds, New Capital City, Cairo",163,3,3,"['Balcony', 'Shared Pool', 'Security', 'Lobby in Building']",8463367,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-7579670.html
own a prime location apartment at Green Avenue,Apartment,"Green Avenue, New Capital Compounds, New Capital City, Cairo",168,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",3800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-green-avenue-7579642.html
apartment lowest price in Green Avenue delivered,Apartment,"Green Avenue, New Capital Compounds, New Capital City, Cairo",158,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",3400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-green-avenue-7579623.html
 apartment in new capital and lowest down payment ,Apartment,"ION, New Capital Compounds, New Capital City, Cairo",221,4,4,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",7677761,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ion-7579588.html
apartment for sale finest project of new capital,Apartment,"Green Avenue, New Capital Compounds, New Capital City, Cairo",158,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",4000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-green-avenue-7579556.html
"Apartment for sale in Lumia Residence,  R7",Apartment,"Lumia Residence, R7, New Capital City, Cairo",106,2,1,"['Balcony', 'Security', 'Covered Parking', 'View of Water', 'View of Landmark']",3215200,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7579554.html
Modern Twin House in La Vista City New Capital,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,4,4,"['Balcony', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark']",23000000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7579465.html
Fully finished apartment RTM in new capital,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",112,2,1,"['Balcony', 'Security', 'Lobby in Building']",7800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7579356.html
Fully finished apartment for sale in New Garden .,Apartment,"New Garden City, New Capital Compounds, New Capital City, Cairo",211,3,3,"['Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Lobby in Building', ""Children's Pool""]",6872000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7579108.html
"Apartment for sale, superlux finishing in ramatan",Apartment,"Ramatan, New Capital Compounds, New Capital City, Cairo",190,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ramatan-7578996.html
LOWEST PRICE VILLA RTM IN NEW CAIRO PRIME LOCATION,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",300,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Water']",23500000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7578818.html
شقة استلام فوري في المقصد بارك في العاصمه الادارية,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",5029000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7578185.html
شقة استلام فوري في المقصد بارك في العاصمه الادارية,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",3463000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577782.html
شقه 186 متر استلام فوري متشطبه بالكامل سوبر لوكس 3,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",187,3,2,"['Study', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building']",4580000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577774.html
